,Brand,Price,MRP,Processor,Rating,Reviews,Reviews1,Ram,Ava_offer
42,Lenovo Ideapad S145 Core i5 10th Gen - (8 GB/512 GB SSD/Windows 10 Home) S145-15IIL Laptop,"₹47,990","₹88,990",Intel Core i5 Processor (10th Gen)8 GB DDR4 RAM64 bit Windows 10 Operating System512 GB SSD39.62 cm (15.6 inch) DisplayMicrosoft Office Home and Student 20191 Year Onsite Warranty,4.3,631 Ratings & 132 Reviews,631 Ratings & 132 Reviews,39.62 cm (15.6 inch) Display,20% off
43,ASUS VivoBook 14 Ryzen 5 Hexa Core 4500U - (8 GB/512 GB SSD/Windows 10 Home) M413IA-EK581T Thin and Li...,"₹49,990","₹1,04,990","AMD Ryzen 5 Hexa Core Processor8 GB DDR4 RAM64 bit Windows 10 Operating System512 GB SSD35.56 cm (14 inch) DisplayMy Asus, Splendid1 Year Onsite Warranty",4.2,75 Ratings & 17 Reviews,75 Ratings & 17 Reviews,Microsoft Office Home and Student 2019,25% off
44,Lenovo Legion 5 Ryzen 5 Hexa Core 4600H - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForc...,"₹65,990","₹31,870",AMD Ryzen 5 Hexa Core Processor8 GB DDR4 RAM64 bit Windows 10 Operating System512 GB SSD39.62 cm (15.6 inch) Display1 Year Onsite Warranty,4,643 Ratings & 88 Reviews,643 Ratings & 88 Reviews,1 Year Onsite Warranty,38% off
45,msi GF65 Thin Core i7 9th Gen - (16 GB/512 GB SSD/Windows 10 Home/6 GB Graphics/NVIDIA GeForce GTX 166...,"₹75,990","₹84,900","Intel Core i7 Processor (9th Gen)16 GB DDR4 RAM64 bit Windows 10 Operating System512 GB SSD39.62 cm (15.6 inch) DisplayShift, Cooler Boost 5, True Color 2.0, Nahimic 32 Year Carry In Warranty",4.5,"30,205 Ratings & 3,269 Reviews","30,205 Ratings & 3,269 Reviews",Intel Core i3 Processor (11th Gen),13% off
46,DELL Inspiron Pentium Quad Core - (4 GB/256 GB SSD/Windows 10 Home) Inspiron 3502 Laptop,"₹31,490","₹39,788","Intel Pentium Quad Core Processor4 GB DDR4 RAM64 bit Windows 10 Operating System256 GB SSD39.62 cm (15.6 inch) DisplayMicrosoft Office Home and Student 20191 Year Limited Hardware Warranty, In Home Service After Remote Diagnosis - Retail",3.9,293 Ratings & 35 Reviews,293 Ratings & 35 Reviews,8 GB DDR4 RAM,1% off
47,APPLE MacBook Air Core i5 5th Gen - (8 GB/128 GB SSD/Mac OS Sierra) MQD32HN/A,"₹74,990","₹46,390","Intel Core i5 Processor (5th Gen)8 GB DDR3 RAM64 bit Mac OS Operating System128 GB SSD33.78 cm (13.3 inch) DisplayBuilt-in Apps: Siri, Safari, App Store, iMovie, GarageBand, Keynote, FaceTime, iBooks, iTunes1 Year Carry In Warranty",4.3,27 Ratings & 6 Reviews,27 Ratings & 6 Reviews,64 bit Windows 10 Operating System,25% off
48,HP 15s Ryzen 3 Dual Core 3250U - (8 GB/1 TB HDD/Windows 10 Home) 15s-GR0011AU Thin and Light Laptop,"₹35,990","₹57,600","AMD Ryzen 3 Dual Core Processor8 GB DDR4 RAM64 bit Windows 10 Operating System1 TB HDD39.62 cm (15.6 inch) DisplayMicrosoft Office Home and Student 2019, HP Documentation, HP SSRM, HP Smart, HP Support Assistant1 Year Onsite Warranty",4,335 Ratings & 48 Reviews,335 Ratings & 48 Reviews,512 GB SSD,27% off
49,ASUS VivoBook Ultra 14 Core i3 11th Gen - (8 GB/512 GB SSD/Windows 10 Home) X413EA-EB323TS Thin and Li...,"₹40,990","₹44,990","Intel Core i3 Processor (11th Gen)8 GB DDR4 RAM64 bit Windows 10 Operating System512 GB SSD35.56 cm (14 inch) DisplayMicrosoft Office Home and Student 2019, Tru2Life, Splendid, My Asus1 Year Onsite Warranty",4.2,"1,429 Ratings & 211 Reviews","1,429 Ratings & 211 Reviews",35.56 cm (14 inch) Display,1% off
50,acer Aspire 7 Ryzen 5 Quad Core 3550H - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce ...,"₹50,990","₹40,265","AMD Ryzen 5 Quad Core Processor8 GB DDR4 RAM64 bit Windows 10 Operating System512 GB SSD39.62 cm (15.6 inch) DisplayAcer Collection, Quick Access, Acer Product Registration, Acer Care Center1 Year International Travelers Warranty (ITW)",3.9,65 Ratings & 12 Reviews,65 Ratings & 12 Reviews,"Microsoft Office Home and Student 2019, Tru2Life, Splendid, My Asus",11% off
51,HP 14s Ryzen 5 Quad Core 3500U 3rd Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home) 14s-dk0093AU Thin ...,"₹43,990","₹48,559","AMD Ryzen 5 Quad Core Processor (3rd Gen)8 GB DDR4 RAM64 bit Windows 10 Operating System1 TB HDD|256 GB SSD35.56 cm (14 inch) DisplayHP Audio Switch, HP ePrint, HP Connection Optimizer, HP Support Assistant, HP Documentation, HP System Event Utility, HP JumpStart, Dropbox, Microsoft Office Home and Student 20191 Year Onsite Warranty",3.9,311 Ratings & 53 Reviews,311 Ratings & 53 Reviews,1 Year Onsite Warranty,23% off
52,DELL Inspiron Ryzen 3 Dual Core 3250U - (4 GB/1 TB HDD/256 GB SSD/Windows 10 Home) Inspiron 3505 Lapto...,"₹36,790","₹90,990","AMD Ryzen 3 Dual Core Processor4 GB DDR4 RAM64 bit Windows 10 Operating System1 TB HDD|256 GB SSD39.62 cm (15.6 inch) DisplayMicrosoft Office Home and Student 20191 Year Limited Hardware Warranty, In Home Service After Remote Diagnosis - Retail",4,413 Ratings & 65 Reviews,413 Ratings & 65 Reviews,Intel Core i5 Processor (10th Gen),31% off
53,HP Core i3 11th Gen - (8 GB/512 GB SSD/Windows 10 Home) 15s-FR2006TU Thin and Light Laptop,"₹46,290","₹61,990","Intel Core i3 Processor (11th Gen)8 GB DDR4 RAM64 bit Windows 10 Operating System512 GB SSD39.62 cm (15.6 inches) DisplayMicrosoft Office Home & Student 2019, HP Documentation, HP BIOS Recovery1 Year Domestic Brand Warranty on Device",4,35 Ratings & 3 Reviews,35 Ratings & 3 Reviews,8 GB DDR4 RAM,18% off
54,ASUS TUF Gaming A17 Ryzen 5 Hexa Core 4600H - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home/4 GB Graphics/...,"₹67,990","₹52,999",AMD Ryzen 5 Hexa Core Processor8 GB DDR4 RAM64 bit Windows 10 Operating System1 TB HDD|256 GB SSD43.94 cm (17.3 inch) Display1 Year Onsite Warranty,4,26 Ratings & 10 Reviews,26 Ratings & 10 Reviews,64 bit Windows 10 Operating System,1% off
55,HP 15s Core i5 11th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home/2 GB Graphics) 15s-du3047TX Laptop,"₹62,978","₹51,890","Intel Core i5 Processor (11th Gen)8 GB DDR4 RAM64 bit Windows 10 Operating System1 TB HDD|256 GB SSD39.62 cm (15.6 inch) DisplayMicrosoft Office Home and Student 2019, HP Documentation, HP BIOS Recovery, HP Smart, HP Support Assistant, Dropbox1 Year Onsite Warranty",4,"2,475 Ratings & 289 Reviews","2,475 Ratings & 289 Reviews",256 GB SSD,26% off
